arm,family,subgroup,level,image_scope,metric,horizon_days,n_patients,n_events,n_cases_by_horizon,n_controls_beyond_horizon,estimate,ci_lo,ci_hi,ci_width,wide_interval,suppressed,suppression_reason,note
m2_frontal,image_masking,Border and marker masking,Border band only,frontal_only,harrell_c,1825,619,85,85,137,0.786671,0.740172,0.828921,0.08875,False,False,,"masked_pct is the fraction of the finished 512x512 crop set to zero. Every crop carries the fixed 31-px border band (border_only_masked_pct below); anything above that floor is additional burned-in marker or text masking. UNDER THE all_crops SCOPE THIS STRATUM IS CONFOUNDED WITH VIEW AVAILABILITY: lateral films carry markers far more often than frontal ones, so on the m2_frontal roster (734 test patients with a frontal crop) 212 of 316 multi-view patients sit above the floor against 51 of 418 frontal-only, summing to this family's 263; on the 740-patient m4_fusion roster it is 214 of 322 and 51 of 418, summing to 265. The frontal_only scope is the unconfounded version of this contrast; its additional-masking level holds 21 events and is suppressed by the 50-event floor, so the two-sided comparison exists only under the confounded definition and must not be reported as unconfounded. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_masking,Border and marker masking,Additional marker masking,frontal_only,auc,1825,115,21,21,20,,,,,False,True,protocol section 21: fewer than 50 events (21 in this level),"masked_pct is the fraction of the finished 512x512 crop set to zero. Every crop carries the fixed 31-px border band (border_only_masked_pct below); anything above that floor is additional burned-in marker or text masking. UNDER THE all_crops SCOPE THIS STRATUM IS CONFOUNDED WITH VIEW AVAILABILITY: lateral films carry markers far more often than frontal ones, so on the m2_frontal roster (734 test patients with a frontal crop) 212 of 316 multi-view patients sit above the floor against 51 of 418 frontal-only, summing to this family's 263; on the 740-patient m4_fusion roster it is 214 of 322 and 51 of 418, summing to 265. The frontal_only scope is the unconfounded version of this contrast; its additional-masking level holds 21 events and is suppressed by the 50-event floor, so the two-sided comparison exists only under the confounded definition and must not be reported as unconfounded. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,image_masking,Border and marker masking,Additional marker masking,frontal_only,harrell_c,1825,115,21,21,20,,,,,False,True,protocol section 21: fewer than 50 events (21 in this level),"masked_pct is the fraction of the finished 512x512 crop set to zero. Every crop carries the fixed 31-px border band (border_only_masked_pct below); anything above that floor is additional burned-in marker or text masking. UNDER THE all_crops SCOPE THIS STRATUM IS CONFOUNDED WITH VIEW AVAILABILITY: lateral films carry markers far more often than frontal ones, so on the m2_frontal roster (734 test patients with a frontal crop) 212 of 316 multi-view patients sit above the floor against 51 of 418 frontal-only, summing to this family's 263; on the 740-patient m4_fusion roster it is 214 of 322 and 51 of 418, summing to 265. The frontal_only scope is the unconfounded version of this contrast; its additional-masking level holds 21 events and is suppressed by the 50-event floor, so the two-sided comparison exists only under the confounded definition and must not be reported as unconfounded. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_crop_confidence,Joint localization confidence,Confidence 1.0,all_crops,auc,1825,718,104,104,155,0.835514,0.782372,0.886619,0.104248,False,False,,"crop_confidence is 1.0 exactly whenever crop_method is center_default and below 1.0 whenever it is intensity_profile; the two columns are the SAME partition on every split (1:1 on all 6,071 preprocessed images), so this family and image_crop_method carry identical masks and are reported together only because the editor named image quality and localization separately. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | estimated on 104 case(s) with an event by 1825 d against 155 control(s) observed event-free beyond it"
m2_frontal,image_crop_confidence,Joint localization confidence,Confidence 1.0,all_crops,harrell_c,1825,718,104,104,155,0.780266,0.738742,0.818043,0.079301,False,False,,"crop_confidence is 1.0 exactly whenever crop_method is center_default and below 1.0 whenever it is intensity_profile; the two columns are the SAME partition on every split (1:1 on all 6,071 preprocessed images), so this family and image_crop_method carry identical masks and are reported together only because the editor named image quality and localization separately. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_crop_confidence,Joint localization confidence,Confidence below 1.0,all_crops,auc,1825,16,2,2,2,,,,,False,True,protocol section 21: fewer than 50 events (2 in this level),"crop_confidence is 1.0 exactly whenever crop_method is center_default and below 1.0 whenever it is intensity_profile; the two columns are the SAME partition on every split (1:1 on all 6,071 preprocessed images), so this family and image_crop_method carry identical masks and are reported together only because the editor named image quality and localization separately. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,image_crop_confidence,Joint localization confidence,Confidence below 1.0,all_crops,harrell_c,1825,16,2,2,2,,,,,False,True,protocol section 21: fewer than 50 events (2 in this level),"crop_confidence is 1.0 exactly whenever crop_method is center_default and below 1.0 whenever it is intensity_profile; the two columns are the SAME partition on every split (1:1 on all 6,071 preprocessed images), so this family and image_crop_method carry identical masks and are reported together only because the editor named image quality and localization separately. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_crop_confidence,Joint localization confidence,Confidence 1.0,frontal_only,auc,1825,722,104,104,155,0.835514,0.782372,0.886619,0.104248,False,False,,"crop_confidence is 1.0 exactly whenever crop_method is center_default and below 1.0 whenever it is intensity_profile; the two columns are the SAME partition on every split (1:1 on all 6,071 preprocessed images), so this family and image_crop_method carry identical masks and are reported together only because the editor named image quality and localization separately. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | estimated on 104 case(s) with an event by 1825 d against 155 control(s) observed event-free beyond it"
m2_frontal,image_crop_confidence,Joint localization confidence,Confidence 1.0,frontal_only,harrell_c,1825,722,104,104,155,0.779903,0.738569,0.817711,0.079142,False,False,,"crop_confidence is 1.0 exactly whenever crop_method is center_default and below 1.0 whenever it is intensity_profile; the two columns are the SAME partition on every split (1:1 on all 6,071 preprocessed images), so this family and image_crop_method carry identical masks and are reported together only because the editor named image quality and localization separately. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_crop_confidence,Joint localization confidence,Confidence below 1.0,frontal_only,auc,1825,12,2,2,2,,,,,False,True,protocol section 21: fewer than 50 events (2 in this level),"crop_confidence is 1.0 exactly whenever crop_method is center_default and below 1.0 whenever it is intensity_profile; the two columns are the SAME partition on every split (1:1 on all 6,071 preprocessed images), so this family and image_crop_method carry identical masks and are reported together only because the editor named image quality and localization separately. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,image_crop_confidence,Joint localization confidence,Confidence below 1.0,frontal_only,harrell_c,1825,12,2,2,2,,,,,False,True,protocol section 21: fewer than 50 events (2 in this level),"crop_confidence is 1.0 exactly whenever crop_method is center_default and below 1.0 whenever it is intensity_profile; the two columns are the SAME partition on every split (1:1 on all 6,071 preprocessed images), so this family and image_crop_method carry identical masks and are reported together only because the editor named image quality and localization separately. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_crop_method,Joint localization method,Center default only,all_crops,auc,1825,718,104,104,155,0.835514,0.782372,0.886619,0.104248,False,False,,"BADLY IMBALANCED AND REPORTED AS SUCH: intensity_profile localization was used on 86 of 6,071 preprocessed images overall and on 17 of 1,216 test images (16 test patients under the all_crops scope). No partition of this family can put 50 events in the intensity_profile level, so its suppression is arithmetically forced rather than a shortfall of effort. Identical mask to image_crop_confidence. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | estimated on 104 case(s) with an event by 1825 d against 155 control(s) observed event-free beyond it"
m2_frontal,image_crop_method,Joint localization method,Center default only,all_crops,harrell_c,1825,718,104,104,155,0.780266,0.738742,0.818043,0.079301,False,False,,"BADLY IMBALANCED AND REPORTED AS SUCH: intensity_profile localization was used on 86 of 6,071 preprocessed images overall and on 17 of 1,216 test images (16 test patients under the all_crops scope). No partition of this family can put 50 events in the intensity_profile level, so its suppression is arithmetically forced rather than a shortfall of effort. Identical mask to image_crop_confidence. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_crop_method,Joint localization method,Any intensity profile,all_crops,auc,1825,16,2,2,2,,,,,False,True,protocol section 21: fewer than 50 events (2 in this level),"BADLY IMBALANCED AND REPORTED AS SUCH: intensity_profile localization was used on 86 of 6,071 preprocessed images overall and on 17 of 1,216 test images (16 test patients under the all_crops scope). No partition of this family can put 50 events in the intensity_profile level, so its suppression is arithmetically forced rather than a shortfall of effort. Identical mask to image_crop_confidence. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,image_crop_method,Joint localization method,Any intensity profile,all_crops,harrell_c,1825,16,2,2,2,,,,,False,True,protocol section 21: fewer than 50 events (2 in this level),"BADLY IMBALANCED AND REPORTED AS SUCH: intensity_profile localization was used on 86 of 6,071 preprocessed images overall and on 17 of 1,216 test images (16 test patients under the all_crops scope). No partition of this family can put 50 events in the intensity_profile level, so its suppression is arithmetically forced rather than a shortfall of effort. Identical mask to image_crop_confidence. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_crop_method,Joint localization method,Center default only,frontal_only,auc,1825,722,104,104,155,0.835514,0.782372,0.886619,0.104248,False,False,,"BADLY IMBALANCED AND REPORTED AS SUCH: intensity_profile localization was used on 86 of 6,071 preprocessed images overall and on 17 of 1,216 test images (16 test patients under the all_crops scope). No partition of this family can put 50 events in the intensity_profile level, so its suppression is arithmetically forced rather than a shortfall of effort. Identical mask to image_crop_confidence. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | estimated on 104 case(s) with an event by 1825 d against 155 control(s) observed event-free beyond it"
m2_frontal,image_crop_method,Joint localization method,Center default only,frontal_only,harrell_c,1825,722,104,104,155,0.779903,0.738569,0.817711,0.079142,False,False,,"BADLY IMBALANCED AND REPORTED AS SUCH: intensity_profile localization was used on 86 of 6,071 preprocessed images overall and on 17 of 1,216 test images (16 test patients under the all_crops scope). No partition of this family can put 50 events in the intensity_profile level, so its suppression is arithmetically forced rather than a shortfall of effort. Identical mask to image_crop_confidence. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_crop_method,Joint localization method,Any intensity profile,frontal_only,auc,1825,12,2,2,2,,,,,False,True,protocol section 21: fewer than 50 events (2 in this level),"BADLY IMBALANCED AND REPORTED AS SUCH: intensity_profile localization was used on 86 of 6,071 preprocessed images overall and on 17 of 1,216 test images (16 test patients under the all_crops scope). No partition of this family can put 50 events in the intensity_profile level, so its suppression is arithmetically forced rather than a shortfall of effort. Identical mask to image_crop_confidence. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,image_crop_method,Joint localization method,Any intensity profile,frontal_only,harrell_c,1825,12,2,2,2,,,,,False,True,protocol section 21: fewer than 50 events (2 in this level),"BADLY IMBALANCED AND REPORTED AS SUCH: intensity_profile localization was used on 86 of 6,071 preprocessed images overall and on 17 of 1,216 test images (16 test patients under the all_crops scope). No partition of this family can put 50 events in the intensity_profile level, so its suppression is arithmetically forced rather than a shortfall of effort. Identical mask to image_crop_confidence. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_inverted,Photometric inversion applied,No inversion,all_crops,auc,1825,588,90,90,96,0.786138,0.715482,0.855589,0.140107,False,False,,"inverted records that the preprocessing corrected a MONOCHROME1 presentation so bone reads bright. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | estimated on 90 case(s) with an event by 1825 d against 96 control(s) observed event-free beyond it"
m2_frontal,image_inverted,Photometric inversion applied,No inversion,all_crops,harrell_c,1825,588,90,90,96,0.763333,0.717447,0.804808,0.087361,False,False,,"inverted records that the preprocessing corrected a MONOCHROME1 presentation so bone reads bright. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_inverted,Photometric inversion applied,Inversion applied,all_crops,auc,1825,146,16,16,61,,,,,False,True,protocol section 21: fewer than 50 events (16 in this level),"inverted records that the preprocessing corrected a MONOCHROME1 presentation so bone reads bright. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,image_inverted,Photometric inversion applied,Inversion applied,all_crops,harrell_c,1825,146,16,16,61,,,,,False,True,protocol section 21: fewer than 50 events (16 in this level),"inverted records that the preprocessing corrected a MONOCHROME1 presentation so bone reads bright. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_inverted,Photometric inversion applied,No inversion,frontal_only,auc,1825,588,90,90,96,0.786138,0.715482,0.855589,0.140107,False,False,,"inverted records that the preprocessing corrected a MONOCHROME1 presentation so bone reads bright. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | estimated on 90 case(s) with an event by 1825 d against 96 control(s) observed event-free beyond it"
m2_frontal,image_inverted,Photometric inversion applied,No inversion,frontal_only,harrell_c,1825,588,90,90,96,0.763333,0.717447,0.804808,0.087361,False,False,,"inverted records that the preprocessing corrected a MONOCHROME1 presentation so bone reads bright. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_inverted,Photometric inversion applied,Inversion applied,frontal_only,auc,1825,146,16,16,61,,,,,False,True,protocol section 21: fewer than 50 events (16 in this level),"inverted records that the preprocessing corrected a MONOCHROME1 presentation so bone reads bright. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,image_inverted,Photometric inversion applied,Inversion applied,frontal_only,harrell_c,1825,146,16,16,61,,,,,False,True,protocol section 21: fewer than 50 events (16 in this level),"inverted records that the preprocessing corrected a MONOCHROME1 presentation so bone reads bright. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_half_selected,Bilateral half selection,No half selection,all_crops,auc,1825,27,8,8,6,,,,,False,True,protocol section 21: fewer than 50 events (8 in this level),"half_selected records that a bilateral film was cut at a 2% midline inset to keep the contralateral knee only. It is 'none' only for films already showing one knee, which on the test split is 33 of 740 patients under the all_crops scope, so the unexposed level cannot reach the event floor. The half-select is driven by the model-inferred horizontal_flip annotation, which the protocol section 23(i) review has not yet validated (D22). Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,image_half_selected,Bilateral half selection,No half selection,all_crops,harrell_c,1825,27,8,8,6,,,,,False,True,protocol section 21: fewer than 50 events (8 in this level),"half_selected records that a bilateral film was cut at a 2% midline inset to keep the contralateral knee only. It is 'none' only for films already showing one knee, which on the test split is 33 of 740 patients under the all_crops scope, so the unexposed level cannot reach the event floor. The half-select is driven by the model-inferred horizontal_flip annotation, which the protocol section 23(i) review has not yet validated (D22). Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_half_selected,Bilateral half selection,Half selection applied,all_crops,auc,1825,707,98,98,151,0.846092,0.792054,0.895887,0.103833,False,False,,"half_selected records that a bilateral film was cut at a 2% midline inset to keep the contralateral knee only. It is 'none' only for films already showing one knee, which on the test split is 33 of 740 patients under the all_crops scope, so the unexposed level cannot reach the event floor. The half-select is driven by the model-inferred horizontal_flip annotation, which the protocol section 23(i) review has not yet validated (D22). Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | estimated on 98 case(s) with an event by 1825 d against 151 control(s) observed event-free beyond it"
m2_frontal,image_half_selected,Bilateral half selection,Half selection applied,all_crops,harrell_c,1825,707,98,98,151,0.786759,0.744346,0.824061,0.079714,False,False,,"half_selected records that a bilateral film was cut at a 2% midline inset to keep the contralateral knee only. It is 'none' only for films already showing one knee, which on the test split is 33 of 740 patients under the all_crops scope, so the unexposed level cannot reach the event floor. The half-select is driven by the model-inferred horizontal_flip annotation, which the protocol section 23(i) review has not yet validated (D22). Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_half_selected,Bilateral half selection,No half selection,frontal_only,auc,1825,27,8,8,6,,,,,False,True,protocol section 21: fewer than 50 events (8 in this level),"half_selected records that a bilateral film was cut at a 2% midline inset to keep the contralateral knee only. It is 'none' only for films already showing one knee, which on the test split is 33 of 740 patients under the all_crops scope, so the unexposed level cannot reach the event floor. The half-select is driven by the model-inferred horizontal_flip annotation, which the protocol section 23(i) review has not yet validated (D22). Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,image_half_selected,Bilateral half selection,No half selection,frontal_only,harrell_c,1825,27,8,8,6,,,,,False,True,protocol section 21: fewer than 50 events (8 in this level),"half_selected records that a bilateral film was cut at a 2% midline inset to keep the contralateral knee only. It is 'none' only for films already showing one knee, which on the test split is 33 of 740 patients under the all_crops scope, so the unexposed level cannot reach the event floor. The half-select is driven by the model-inferred horizontal_flip annotation, which the protocol section 23(i) review has not yet validated (D22). Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_half_selected,Bilateral half selection,Half selection applied,frontal_only,auc,1825,707,98,98,151,0.846092,0.792054,0.895887,0.103833,False,False,,"half_selected records that a bilateral film was cut at a 2% midline inset to keep the contralateral knee only. It is 'none' only for films already showing one knee, which on the test split is 33 of 740 patients under the all_crops scope, so the unexposed level cannot reach the event floor. The half-select is driven by the model-inferred horizontal_flip annotation, which the protocol section 23(i) review has not yet validated (D22). Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | estimated on 98 case(s) with an event by 1825 d against 151 control(s) observed event-free beyond it"
m2_frontal,image_half_selected,Bilateral half selection,Half selection applied,frontal_only,harrell_c,1825,707,98,98,151,0.786759,0.744346,0.824061,0.079714,False,False,,"half_selected records that a bilateral film was cut at a 2% midline inset to keep the contralateral knee only. It is 'none' only for films already showing one knee, which on the test split is 33 of 740 patients under the all_crops scope, so the unexposed level cannot reach the event floor. The half-select is driven by the model-inferred horizontal_flip annotation, which the protocol section 23(i) review has not yet validated (D22). Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m4_fusion,imaging_weight_bearing,Frontal radiograph technique,Weight bearing,not applicable,auc,1825,673,101,101,133,0.872824,0.819269,0.92011,0.100841,False,False,,"POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | estimated on 101 case(s) with an event by 1825 d against 133 control(s) observed event-free beyond it"
m4_fusion,imaging_weight_bearing,Frontal radiograph technique,Weight bearing,not applicable,harrell_c,1825,673,101,101,133,0.799512,0.758507,0.837082,0.078575,False,False,,"POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m4_fusion,imaging_weight_bearing,Frontal radiograph technique,Non weight bearing,not applicable,auc,1825,67,5,5,28,,,,,False,True,protocol section 21: fewer than 50 events (5 in this level),"POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m4_fusion,imaging_weight_bearing,Frontal radiograph technique,Non weight bearing,not applicable,harrell_c,1825,67,5,5,28,,,,,False,True,protocol section 21: fewer than 50 events (5 in this level),"POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m4_fusion,imaging_views,Imaging views,Frontal only,not applicable,auc,1825,418,37,37,94,,,,,False,True,protocol section 21: fewer than 50 events (37 in this level),"POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m4_fusion,imaging_views,Imaging views,Frontal only,not applicable,harrell_c,1825,418,37,37,94,,,,,False,True,protocol section 21: fewer than 50 events (37 in this level),"POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m4_fusion,imaging_views,Imaging views,Multiple views,not applicable,auc,1825,322,69,69,67,0.803907,0.719114,0.878835,0.159721,True,False,,"POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | estimated on 69 case(s) with an event by 1825 d against 67 control(s) observed event-free beyond it | WIDE INTERVAL: the 95% interval spans 0.160, at or above the pre-declared 0.15 flag"
m4_fusion,imaging_views,Imaging views,Multiple views,not applicable,harrell_c,1825,322,69,69,67,0.706888,0.653254,0.75714,0.103886,False,False,,"POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m4_fusion,laterality_source,Index laterality source,Coded laterality,not applicable,auc,1825,370,76,76,0,,,,,False,True,"not estimable: the IPCW AUROC at 1825 d compares patients with an event by 1825 days against patients observed event-free beyond it, and this level holds 76 of the former and 0 of the latter. This is undefined, not imprecise; read the horizon-free Harrell C row","side_source records how the INDEX operative side was established: 'coded' = an interpretable RT/LT modifier on the earliest CPT 27447; 'recovered' = rule-based reconciliation of concordant same-day-or-earlier CPT / ICD / image signals (deviation D2). It is not a neural-network output and must not be conflated with the model-inferred per-image laterality, view and horizontal-flip annotations (protocol section 23(i)). The recovered arm is the exposure the protocol section-7 audit was meant to validate; that audit is still unscored (D22), so this stratum measures the consequence of an unvalidated annotation. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m4_fusion,laterality_source,Index laterality source,Coded laterality,not applicable,harrell_c,1825,370,76,76,0,0.730075,0.674897,0.783995,0.109098,False,False,,"side_source records how the INDEX operative side was established: 'coded' = an interpretable RT/LT modifier on the earliest CPT 27447; 'recovered' = rule-based reconciliation of concordant same-day-or-earlier CPT / ICD / image signals (deviation D2). It is not a neural-network output and must not be conflated with the model-inferred per-image laterality, view and horizontal-flip annotations (protocol section 23(i)). The recovered arm is the exposure the protocol section-7 audit was meant to validate; that audit is still unscored (D22), so this stratum measures the consequence of an unvalidated annotation. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m4_fusion,laterality_source,Index laterality source,Recovered laterality,not applicable,auc,1825,370,30,30,161,,,,,False,True,protocol section 21: fewer than 50 events (30 in this level),"side_source records how the INDEX operative side was established: 'coded' = an interpretable RT/LT modifier on the earliest CPT 27447; 'recovered' = rule-based reconciliation of concordant same-day-or-earlier CPT / ICD / image signals (deviation D2). It is not a neural-network output and must not be conflated with the model-inferred per-image laterality, view and horizontal-flip annotations (protocol section 23(i)). The recovered arm is the exposure the protocol section-7 audit was meant to validate; that audit is still unscored (D22), so this stratum measures the consequence of an unvalidated annotation. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m4_fusion,laterality_source,Index laterality source,Recovered laterality,not applicable,harrell_c,1825,370,30,30,161,,,,,False,True,protocol section 21: fewer than 50 events (30 in this level),"side_source records how the INDEX operative side was established: 'coded' = an interpretable RT/LT modifier on the earliest CPT 27447; 'recovered' = rule-based reconciliation of concordant same-day-or-earlier CPT / ICD / image signals (deviation D2). It is not a neural-network output and must not be conflated with the model-inferred per-image laterality, view and horizontal-flip annotations (protocol section 23(i)). The recovered arm is the exposure the protocol section-7 audit was meant to validate; that audit is still unscored (D22), so this stratum measures the consequence of an unvalidated annotation. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m4_fusion,acquisition_era_calendar,Acquisition era (five-year calendar spans),2007 to 2011,not applicable,auc,1825,36,0,0,35,,,,,False,True,protocol section 21: fewer than 50 events (0 in this level),"UNCONFIRMED DATE COMPARABILITY. The era label is derived from StudyDate_anon, which carries a PER-PATIENT RANDOM SHIFT (see src/inventory.py and outputs/data_quality_report.md: ""Absolute calendar dates are meaningless, but within-patient day intervals are valid""). Protocol section 17 demands written confirmation that de-identified dates are comparable across patients; deviation D17 recorded that it ""has not been obtained"", and as of 2026-08-11 it still has not. This stratum is therefore a stratification on a shifted date of unknown per-patient offset, not on true acquisition year, and it must not be read as an acquisition-technology or equipment-generation effect. It is additionally confounded with retrospective record availability: on the test split median follow-up falls from 1,826 days in 2007-2011 to 430 days in 2017-2021 while the share observed through five years falls from 97.2% to 1.0%, and the earliest era carries zero events. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m4_fusion,acquisition_era_calendar,Acquisition era (five-year calendar spans),2007 to 2011,not applicable,harrell_c,1825,36,0,0,35,,,,,False,True,protocol section 21: fewer than 50 events (0 in this level),"UNCONFIRMED DATE COMPARABILITY. The era label is derived from StudyDate_anon, which carries a PER-PATIENT RANDOM SHIFT (see src/inventory.py and outputs/data_quality_report.md: ""Absolute calendar dates are meaningless, but within-patient day intervals are valid""). Protocol section 17 demands written confirmation that de-identified dates are comparable across patients; deviation D17 recorded that it ""has not been obtained"", and as of 2026-08-11 it still has not. This stratum is therefore a stratification on a shifted date of unknown per-patient offset, not on true acquisition year, and it must not be read as an acquisition-technology or equipment-generation effect. It is additionally confounded with retrospective record availability: on the test split median follow-up falls from 1,826 days in 2007-2011 to 430 days in 2017-2021 while the share observed through five years falls from 97.2% to 1.0%, and the earliest era carries zero events. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
